time,close,ret,desired_w,approved_w,reason,cost,equity,halted
2026-05-25,77265.9,0.00365,0.4,0.4,OK,20.0,9980.0,False
2026-05-26,75824.0,-0.018662,0.4,0.4,OK,0.0,9905.5032,False
2026-05-27,74337.1,-0.01961,0.4,0.4,OK,0.0,9827.8049,False
2026-05-28,73515.7,-0.01105,0.4,0.4,OK,0.0,9784.3673,False
2026-05-29,73370.7,-0.001972,0.4,0.4,OK,0.0,9776.6479,False
2026-05-30,73753.7,0.00522,0.4,0.4,OK,0.0,9797.0618,False
2026-05-31,73570.0,-0.002491,0.4,0.4,OK,0.0,9787.3011,False
2026-06-01,71317.5,-0.030617,0.4,0.4,OK,0.0,9667.4376,False
2026-06-02,66669.7,-0.065171,0.0,0.0,OK,18.8308,9396.5939,False
2026-06-03,64035.8,-0.039507,0.0,0.0,OK,0.0,9396.5939,False
2026-06-04,63814.0,-0.003464,0.0,0.0,OK,0.0,9396.5939,False
2026-06-05,61037.9,-0.043503,0.0,0.0,OK,0.0,9396.5939,False
2026-06-06,60855.7,-0.002985,0.0,0.0,OK,0.0,9396.5939,False
2026-06-07,63307.6,0.04029,0.0,0.0,OK,0.0,9396.5939,False
2026-06-08,63076.4,-0.003652,0.0,0.0,OK,0.0,9396.5939,False
2026-06-09,61690.4,-0.021973,0.0,0.0,OK,0.0,9396.5939,False
2026-06-10,61464.4,-0.003663,0.0,0.0,OK,0.0,9396.5939,False
2026-06-11,63552.3,0.033969,0.0,0.0,OK,0.0,9396.5939,False
2026-06-12,63543.2,-0.000143,0.0,0.0,OK,0.0,9396.5939,False
2026-06-13,64404.0,0.013547,0.0,0.0,OK,0.0,9396.5939,False
2026-06-14,65715.1,0.020357,0.0,0.0,OK,0.0,9396.5939,False
2026-06-15,66284.3,0.008662,0.0,0.0,OK,0.0,9396.5939,False
2026-06-16,65609.5,-0.01018,0.0,0.0,OK,0.0,9396.5939,False
2026-06-17,64454.8,-0.0176,0.0,0.0,OK,0.0,9396.5939,False
2026-06-18,62885.6,-0.024346,0.0,0.0,OK,0.0,9396.5939,False
2026-06-19,63486.4,0.009554,0.0,0.0,OK,0.0,9396.5939,False
2026-06-20,64250.1,0.012029,0.0,0.0,OK,0.0,9396.5939,False
2026-06-21,63234.0,-0.015815,0.0,0.0,OK,0.0,9396.5939,False
2026-06-22,63953.6,0.01138,0.0,0.0,OK,0.0,9396.5939,False
2026-06-23,62650.3,-0.020379,0.0,0.0,OK,0.0,9396.5939,False
2026-06-24,60980.8,-0.026648,0.0,0.0,OK,0.0,9396.5939,False
2026-06-25,59707.1,-0.020887,0.0,0.0,OK,0.0,9396.5939,False
2026-06-26,60009.2,0.00506,0.0,0.0,OK,0.0,9396.5939,False
2026-06-27,59941.5,-0.001128,0.0,0.0,OK,0.0,9396.5939,False
2026-06-28,59489.5,-0.007541,0.0,0.0,OK,0.0,9396.5939,False
2026-06-29,60157.3,0.011226,0.0,0.0,OK,0.0,9396.5939,False
2026-06-30,58531.9,-0.027019,0.0,0.0,OK,0.0,9396.5939,False
2026-07-01,59959.4,0.024388,0.0,0.0,OK,0.0,9396.5939,False
2026-07-02,61484.4,0.025434,0.0,0.0,OK,0.0,9396.5939,False
2026-07-03,62546.8,0.017279,0.0,0.0,OK,0.0,9396.5939,False
2026-07-04,63085.8,0.008618,0.0,0.0,OK,0.0,9396.5939,False
2026-07-05,63593.0,0.00804,0.0,0.0,OK,0.0,9396.5939,False
2026-07-06,64005.1,0.00648,0.0,0.0,OK,0.0,9396.5939,False
2026-07-07,63304.0,-0.010954,0.0,0.0,OK,0.0,9396.5939,False
2026-07-08,62241.1,-0.01679,0.0,0.0,OK,0.0,9396.5939,False
2026-07-09,63174.0,0.014988,0.0,0.0,OK,0.0,9396.5939,False
2026-07-10,64126.4,0.015076,0.0,0.0,OK,0.0,9396.5939,False
2026-07-11,63779.5,-0.00541,0.0,0.0,OK,0.0,9396.5939,False
2026-07-12,63737.4,-0.00066,0.0,0.0,OK,0.0,9396.5939,False
2026-07-13,62253.5,-0.023281,0.0,0.0,OK,0.0,9396.5939,False
2026-07-14,64977.2,0.043752,0.0,0.0,OK,0.0,9396.5939,False
2026-07-15,64709.4,-0.004121,0.0,0.0,OK,0.0,9396.5939,False
2026-07-16,63789.5,-0.014216,0.0,0.0,OK,0.0,9396.5939,False
2026-07-17,63907.0,0.001842,0.0,0.0,OK,0.0,9396.5939,False
2026-07-18,64796.7,0.013922,0.0,0.0,OK,0.0,9396.5939,False
2026-07-19,64678.1,-0.00183,0.0,0.0,OK,0.0,9396.5939,False
2026-07-20,65215.7,0.008312,0.0,0.0,OK,0.0,9396.5939,False
2026-07-21,66511.7,0.019873,0.0,0.0,OK,0.0,9396.5939,False
2026-07-22,66072.5,-0.006603,0.0,0.0,OK,0.0,9396.5939,False
2026-07-23,65050.1,-0.015474,0.0,0.0,OK,0.0,9396.5939,False
2026-07-24,64087.8,-0.014793,0.0,0.0,OK,0.0,9396.5939,False
2026-07-25,64312.9,0.003512,0.0,0.0,OK,0.0,9396.5939,False
2026-07-26,65336.6,0.015917,0.0,0.0,OK,0.0,9396.5939,False
2026-07-27,63697.1,-0.025093,0.0,0.0,OK,0.0,9396.5939,False
2026-07-28,63859.6,0.002551,0.0,0.0,OK,0.0,9396.5939,False
2026-07-29,63901.0,0.000648,0.0,0.0,OK,0.0,9396.5939,False
2026-07-30,64723.0,0.012864,0.0,0.0,OK,0.0,9396.5939,False
2026-07-31,62822.0,-0.029371,0.0,0.0,OK,0.0,9396.5939,False
2026-08-01,62760.0,-0.000987,0.0,0.0,OK,0.0,9396.5939,False
2026-08-02,63500.0,0.011791,0.0,0.0,OK,0.0,9396.5939,False
2026-08-03,63461.7,-0.000603,0.0,0.0,OK,0.0,9396.5939,False
2026-08-04,64053.7,0.009328,0.4,0.4,OK,18.7932,9377.8007,False
2026-08-05,64599.2,0.008516,0.2,0.2,OK,9.4097,9400.3366,False
2026-08-06,64259.2,-0.005263,0.2,0.2,OK,0.0,9390.4414,False
2026-08-07,64886.1,0.009756,0.2,0.2,OK,0.0,9408.7637,False
2026-08-08,64901.1,0.000231,0.2,0.2,OK,0.0,9409.1987,False
2026-08-09,64860.0,-0.000633,0.2,0.2,OK,0.0,9408.007,False
2026-08-10,63922.1,-0.01446,0.2,0.2,OK,0.0,9380.7983,False
2026-08-11,63541.1,-0.00596,0.0,0.0,OK,9.3696,9360.2461,False
2026-08-12,63412.0,-0.002032,0.0,0.0,OK,0.0,9360.2461,False
2026-08-13,63423.3,0.000178,0.0,0.0,OK,0.0,9360.2461,False
2026-08-14,62979.4,-0.006999,0.0,0.0,OK,0.0,9360.2461,False
